trip_id,arrival_time,departure_time,stop_id,stop_sequence
R01_T1,07:00:00,07:00:00,B001,1
R01_T1,07:08:00,07:08:00,B055,2
R01_T1,07:15:00,07:15:00,B054,3
R01_T1,07:22:00,07:22:00,B010,4
R01_T1,07:28:00,07:28:00,B020,5
R01_T1,07:35:00,07:35:00,B015,6
R01_T1,07:42:00,07:42:00,B021,7
R01_T2,07:00:00,07:00:00,B021,1
R01_T2,07:07:00,07:07:00,B015,2
R01_T2,07:14:00,07:14:00,B020,3
R01_T2,07:20:00,07:20:00,B010,4
R01_T2,07:27:00,07:27:00,B054,5
R01_T2,07:34:00,07:34:00,B055,6
R01_T2,07:42:00,07:42:00,B001,7
R02_T1,07:00:00,07:00:00,B001,1
R02_T1,07:10:00,07:10:00,B057,2
R02_T1,07:18:00,07:18:00,B007,3
R02_T1,07:26:00,07:26:00,B008,4
R02_T1,07:35:00,07:35:00,B009,5
R02_T2,07:00:00,07:00:00,B009,1
R02_T2,07:09:00,07:09:00,B008,2
R02_T2,07:17:00,07:17:00,B007,3
R02_T2,07:25:00,07:25:00,B057,4
R02_T2,07:35:00,07:35:00,B001,5
R03_T1,07:00:00,07:00:00,B022,1
R03_T1,07:08:00,07:08:00,B023,2
R03_T1,07:15:00,07:15:00,B025,3
R03_T1,07:22:00,07:22:00,B026,4
R03_T1,07:30:00,07:30:00,B039,5
R03_T1,07:38:00,07:38:00,B037,6
R03_T2,07:00:00,07:00:00,B037,1
R03_T2,07:08:00,07:08:00,B039,2
R03_T2,07:16:00,07:16:00,B026,3
R03_T2,07:23:00,07:23:00,B025,4
R03_T2,07:30:00,07:30:00,B023,5
R03_T2,07:38:00,07:38:00,B022,6
R04_T1,07:00:00,07:00:00,B015,1
R04_T1,07:08:00,07:08:00,B078,2
R04_T1,07:14:00,07:14:00,B030,3
R04_T1,07:22:00,07:22:00,B029,4
R04_T1,07:30:00,07:30:00,B028,5
R04_T2,07:00:00,07:00:00,B028,1
R04_T2,07:08:00,07:08:00,B029,2
R04_T2,07:16:00,07:16:00,B030,3
R04_T2,07:22:00,07:22:00,B078,4
R04_T2,07:30:00,07:30:00,B015,5
R05_T1,07:00:00,07:00:00,B001,1
R05_T1,07:06:00,07:06:00,B003,2
R05_T1,07:12:00,07:12:00,B004,3
R05_T1,07:20:00,07:20:00,B069,4
R05_T1,07:28:00,07:28:00,B035,5
R05_T1,07:38:00,07:38:00,B036,6
R05_T2,07:00:00,07:00:00,B036,1
R05_T2,07:10:00,07:10:00,B035,2
R05_T2,07:18:00,07:18:00,B069,3
R05_T2,07:26:00,07:26:00,B004,4
R05_T2,07:32:00,07:32:00,B003,5
R05_T2,07:38:00,07:38:00,B001,6
R06_T1,07:00:00,07:00:00,B010,1
R06_T1,07:06:00,07:06:00,B012,2
R06_T1,07:12:00,07:12:00,B013,3
R06_T1,07:20:00,07:20:00,B014,4
R06_T2,07:00:00,07:00:00,B014,1
R06_T2,07:08:00,07:08:00,B013,2
R06_T2,07:14:00,07:14:00,B012,3
R06_T2,07:20:00,07:20:00,B010,4
R07_T1,07:00:00,07:00:00,B021,1
R07_T1,07:08:00,07:08:00,B062,2
R07_T1,07:15:00,07:15:00,B023,3
R07_T1,07:22:00,07:22:00,B022,4
R07_T2,07:00:00,07:00:00,B022,1
R07_T2,07:07:00,07:07:00,B023,2
R07_T2,07:14:00,07:14:00,B062,3
R07_T2,07:22:00,07:22:00,B021,4
R08_T1,07:00:00,07:00:00,B037,1
R08_T1,07:06:00,07:06:00,B042,2
R08_T1,07:12:00,07:12:00,B039,3
R08_T1,07:18:00,07:18:00,B063,4
R08_T1,07:25:00,07:25:00,B026,5
R08_T2,07:00:00,07:00:00,B026,1
R08_T2,07:07:00,07:07:00,B063,2
R08_T2,07:13:00,07:13:00,B039,3
R08_T2,07:19:00,07:19:00,B042,4
R08_T2,07:25:00,07:25:00,B037,5
R09_T1,07:00:00,07:00:00,B001,1
R09_T1,07:08:00,07:08:00,B034,2
R09_T1,07:15:00,07:15:00,B046,3
R09_T1,07:22:00,07:22:00,B033,4
R09_T1,07:30:00,07:30:00,B031,5
R09_T1,07:38:00,07:38:00,B032,6
R09_T2,07:00:00,07:00:00,B032,1
R09_T2,07:08:00,07:08:00,B031,2
R09_T2,07:15:00,07:15:00,B033,3
R09_T2,07:22:00,07:22:00,B046,4
R09_T2,07:29:00,07:29:00,B034,5
R09_T2,07:38:00,07:38:00,B001,6
R10_T1,07:00:00,07:00:00,B015,1
R10_T1,07:07:00,07:07:00,B016,2
R10_T1,07:13:00,07:13:00,B076,3
R10_T1,07:20:00,07:20:00,B077,4
R10_T2,07:00:00,07:00:00,B077,1
R10_T2,07:07:00,07:07:00,B076,2
R10_T2,07:13:00,07:13:00,B016,3
R10_T2,07:20:00,07:20:00,B015,4
R11_T1,07:00:00,07:00:00,B007,1
R11_T1,07:08:00,07:08:00,B058,2
R11_T1,07:15:00,07:15:00,B006,3
R11_T1,07:22:00,07:22:00,B070,4
R11_T1,07:30:00,07:30:00,B069,5
R11_T1,07:38:00,07:38:00,B035,6
R11_T2,07:00:00,07:00:00,B035,1
R11_T2,07:08:00,07:08:00,B069,2
R11_T2,07:15:00,07:15:00,B070,3
R11_T2,07:22:00,07:22:00,B006,4
R11_T2,07:29:00,07:29:00,B058,5
R11_T2,07:38:00,07:38:00,B007,6
R12_T1,07:00:00,07:00:00,B010,1
R12_T1,07:05:00,07:05:00,B011,2
R12_T1,07:10:00,07:10:00,B012,3
R12_T1,07:16:00,07:16:00,B013,4
R12_T2,07:00:00,07:00:00,B013,1
R12_T2,07:06:00,07:06:00,B012,2
R12_T2,07:11:00,07:11:00,B011,3
R12_T2,07:16:00,07:16:00,B010,4
R13_T1,07:00:00,07:00:00,B022,1
R13_T1,07:08:00,07:08:00,B023,2
R13_T1,07:16:00,07:16:00,B024,3
R13_T2,07:00:00,07:00:00,B024,1
R13_T2,07:08:00,07:08:00,B023,2
R13_T2,07:16:00,07:16:00,B022,3
R14_T1,07:00:00,07:00:00,B001,1
R14_T1,07:06:00,07:06:00,B003,2
R14_T1,07:12:00,07:12:00,B004,3
R14_T1,07:18:00,07:18:00,B005,4
R14_T2,07:00:00,07:00:00,B005,1
R14_T2,07:06:00,07:06:00,B004,2
R14_T2,07:12:00,07:12:00,B003,3
R14_T2,07:18:00,07:18:00,B001,4
R15_T1,07:00:00,07:00:00,B039,1
R15_T1,07:08:00,07:08:00,B038,2
R15_T1,07:15:00,07:15:00,B026,3
R15_T1,07:25:00,07:25:00,B025,4
R15_T1,07:35:00,07:35:00,B028,5
R15_T2,07:00:00,07:00:00,B028,1
R15_T2,07:10:00,07:10:00,B025,2
R15_T2,07:20:00,07:20:00,B026,3
R15_T2,07:27:00,07:27:00,B038,4
R15_T2,07:35:00,07:35:00,B039,5
R16_T1,07:00:00,07:00:00,B052,1
R16_T1,07:06:00,07:06:00,B053,2
R16_T1,07:12:00,07:12:00,B014,3
R16_T1,07:20:00,07:20:00,B072,4
R16_T2,07:00:00,07:00:00,B072,1
R16_T2,07:08:00,07:08:00,B014,2
R16_T2,07:14:00,07:14:00,B053,3
R16_T2,07:20:00,07:20:00,B052,4
R17_T1,07:00:00,07:00:00,B019,1
R17_T1,07:06:00,07:06:00,B018,2
R17_T1,07:12:00,07:12:00,B017,3
R17_T1,07:18:00,07:18:00,B079,4
R17_T2,07:00:00,07:00:00,B079,1
R17_T2,07:06:00,07:06:00,B017,2
R17_T2,07:12:00,07:12:00,B018,3
R17_T2,07:18:00,07:18:00,B019,4
R18_T1,07:00:00,07:00:00,B050,1
R18_T1,07:07:00,07:07:00,B049,2
R18_T1,07:14:00,07:14:00,B047,3
R18_T1,07:20:00,07:20:00,B048,4
R18_T1,07:28:00,07:28:00,B058,5
R18_T1,07:35:00,07:35:00,B059,6
R18_T1,07:42:00,07:42:00,B001,7
R18_T2,07:00:00,07:00:00,B001,1
R18_T2,07:07:00,07:07:00,B059,2
R18_T2,07:14:00,07:14:00,B058,3
R18_T2,07:20:00,07:20:00,B048,4
R18_T2,07:28:00,07:28:00,B047,5
R18_T2,07:35:00,07:35:00,B049,6
R18_T2,07:42:00,07:42:00,B050,7
