route_id,service_id,trip_id,direction_id
R01,WD,R01_T1,0
R01,WD,R01_T2,1
R02,WD,R02_T1,0
R02,WD,R02_T2,1
R03,WD,R03_T1,0
R03,WD,R03_T2,1
R04,WD,R04_T1,0
R04,WD,R04_T2,1
R05,WD,R05_T1,0
R05,WD,R05_T2,1
R06,WD,R06_T1,0
R06,WD,R06_T2,1
R07,WD,R07_T1,0
R07,WD,R07_T2,1
R08,WD,R08_T1,0
R08,WD,R08_T2,1
R09,WD,R09_T1,0
R09,WD,R09_T2,1
R10,WD,R10_T1,0
R10,WD,R10_T2,1
R11,WD,R11_T1,0
R11,WD,R11_T2,1
R12,WD,R12_T1,0
R12,WD,R12_T2,1
R13,WD,R13_T1,0
R13,WD,R13_T2,1
R14,WD,R14_T1,0
R14,WD,R14_T2,1
R15,WD,R15_T1,0
R15,WD,R15_T2,1
R16,WD,R16_T1,0
R16,WD,R16_T2,1
R17,WD,R17_T1,0
R17,WD,R17_T2,1
R18,WD,R18_T1,0
R18,WD,R18_T2,1
